author,title,copies
http://www.connaissance.io/onto/biblio/authors#Elmore_Leonard,Cat Chaser,1
http://www.connaissance.io/onto/biblio/authors#Elmore_Leonard,Maximum Bob,1
http://www.connaissance.io/onto/biblio/authors#Elmore_Leonard,Pagan Babies,1
http://www.connaissance.io/onto/biblio/authors#Elmore_Leonard,Road Dogs,1
http://www.connaissance.io/onto/biblio/authors#Elmore_Leonard,Rum Punch,1
http://www.connaissance.io/onto/biblio/authors#Elmore_Leonard,The Hunted,1
http://www.connaissance.io/onto/biblio/authors#Elmore_Leonard,Tishomingo Blues,1
http://www.connaissance.io/onto/biblio/authors#Elsbeth_Woody,Pottery on the Wheel,1
http://www.connaissance.io/onto/biblio/authors#Elson_Haas,The Detox Diet,1
http://www.connaissance.io/onto/biblio/authors#Emily_Dodi,Cucina leggera : light & healthy recipes from northern Italy,1
http://www.connaissance.io/onto/biblio/authors#Emmett_Grogan,Ringolevio : a life played for keeps,1
http://www.connaissance.io/onto/biblio/authors#Eoin_Colfer,Artemis Fowl,1
http://www.connaissance.io/onto/biblio/authors#Eoin_Colfer,The Eternity Code,1
http://www.connaissance.io/onto/biblio/authors#Eric_Clapton,Eric Clapton - Guitar,1
http://www.connaissance.io/onto/biblio/authors#Eric_Goodman,In Days of Awe,1
http://www.connaissance.io/onto/biblio/authors#Eric_Schlosser,Fast food nation : the dark side of the all-American meal,1
http://www.connaissance.io/onto/biblio/authors#Ernest_Callenbach,Ecotopia,1
http://www.connaissance.io/onto/biblio/authors#Ernest_Callenbach,Ecotopia Emerging,1
http://www.connaissance.io/onto/biblio/authors#Esther_Grassian,Information literacy instruction : theory and practice,1
http://www.connaissance.io/onto/biblio/authors#Evan_S_Connell,Notes from a bottle found on the beach at Carmel,1
http://www.connaissance.io/onto/biblio/authors#Fitness_Swimmer,101 Fitness Swimming Secrets,1
http://www.connaissance.io/onto/biblio/authors#Floyd_Shuttleworth,Non-Flowering Plants,1
http://www.connaissance.io/onto/biblio/authors#Forrest_Carter,The Education of Little Tree,1
http://www.connaissance.io/onto/biblio/authors#Francis_ONeill,O'Neill's Music of Ireland,1
http://www.connaissance.io/onto/biblio/authors#Franco_Ferrero,Sea Kayak Navigation,1
http://www.connaissance.io/onto/biblio/authors#Frank_MacEowen,The Celtic way of seeing: meditations on the Irish spirit wheel,1
http://www.connaissance.io/onto/biblio/authors#Frank_Waters,The Book of the Hopi,1
http://www.connaissance.io/onto/biblio/authors#Fred_Darvill,Mountaineering Medicine: (a wilderness medical guide),1
http://www.connaissance.io/onto/biblio/authors#Frederick_Forsyth,The Deceiver,1
